나이,회사와의마찰,출장,일당,부서,거리,학력,전공,사번,만족도,성별,시급,참여프로젝트,근속연차,직급,직업만족도,결혼여부,월급,이직회수,성인여부,야근,업무평가,주변평가,근무기준시간,스톡옵션레벨,경력,전년도교육출장횟수,워라밸,현회사근속년수
41,Yes,1~29회,1102,영업,1,2,사회과학계열,1,2,Female,94,3,2,영업직,4,Single,5993,8,Y,Yes,보통,1,80,0,8,0,1,6
49,No,30회 이상,279,R&D,8,1,사회과학계열,2,3,Male,61,2,2,연구직,2,Married,5130,1,Y,No,좋다,4,80,1,10,3,3,10
37,Yes,1~29회,1373,R&D,2,2,기타,4,4,Male,92,2,1,엔지니어,3,Single,2090,6,Y,Yes,보통,2,80,0,7,3,3,0
33,No,30회 이상,1392,R&D,3,4,사회과학계열,5,4,Female,56,3,1,연구직,3,Married,2909,1,Y,Yes,보통,3,80,0,8,3,3,8
27,No,1~29회,591,R&D,2,1,자연과학계열,7,1,Male,40,3,1,엔지니어,2,Married,3468,9,Y,No,보통,4,80,1,6,3,3,2
32,No,30회 이상,1005,R&D,2,2,사회과학계열,8,4,Male,79,3,1,엔지니어,4,Single,3068,0,Y,No,보통,3,80,0,8,2,2,7
59,No,1~29회,1324,R&D,3,3,자연과학계열,10,3,Female,81,4,1,엔지니어,1,Married,2670,4,Y,Yes,좋다,1,80,3,12,3,2,1
30,No,1~29회,1358,R&D,24,1,사회과학계열,11,4,Male,67,3,1,엔지니어,3,Divorced,2693,1,Y,No,좋다,2,80,1,1,2,3,1
38,No,30회 이상,216,R&D,23,3,사회과학계열,12,4,Male,44,2,3,제조 책임자,3,Single,9526,0,Y,No,좋다,2,80,0,10,2,3,9
36,No,1~29회,1299,R&D,27,3,자연과학계열,13,3,Male,94,3,2,연구직 관리자,3,Married,5237,6,Y,No,보통,2,80,2,17,3,2,7
35,No,1~29회,809,R&D,16,3,자연과학계열,14,1,Male,84,4,1,엔지니어,2,Married,2426,0,Y,No,보통,3,80,1,6,5,3,5
29,No,1~29회,153,R&D,15,2,사회과학계열,15,4,Female,49,2,2,엔지니어,3,Single,4193,0,Y,Yes,보통,4,80,0,10,3,3,9
31,No,1~29회,670,R&D,26,1,사회과학계열,16,1,Male,31,3,1,연구직,3,Divorced,2911,1,Y,No,보통,4,80,1,5,1,2,5
34,No,1~29회,1346,R&D,19,2,자연과학계열,18,2,Male,93,3,1,엔지니어,4,Divorced,2661,0,Y,No,보통,3,80,1,3,2,3,2
28,Yes,1~29회,103,R&D,24,3,사회과학계열,19,3,Male,50,2,1,엔지니어,3,Single,2028,5,Y,Yes,보통,2,80,0,6,4,3,4
29,No,1~29회,1389,R&D,21,4,사회과학계열,20,2,Female,51,4,3,제조 책임자,1,Divorced,9980,1,Y,No,보통,3,80,1,10,1,3,10
32,No,1~29회,334,R&D,5,2,사회과학계열,21,1,Male,80,4,1,연구직,2,Divorced,3298,0,Y,Yes,보통,4,80,2,7,5,2,6
22,No,0회,1123,R&D,16,2,자연과학계열,22,4,Male,96,4,1,엔지니어,4,Divorced,2935,1,Y,Yes,보통,2,80,2,1,2,2,1
53,No,1~29회,1219,영업,2,4,사회과학계열,23,1,Female,78,2,4,인사관리자,4,Married,15427,2,Y,No,보통,3,80,0,31,3,3,25
38,No,1~29회,371,R&D,2,3,사회과학계열,24,4,Male,45,3,1,연구직,4,Single,3944,5,Y,Yes,보통,3,80,0,6,3,3,3
24,No,0회,673,R&D,11,2,기타,26,1,Female,96,4,2,제조 책임자,3,Divorced,4011,0,Y,No,보통,4,80,1,5,5,2,4
36,Yes,1~29회,1218,영업,9,4,사회과학계열,27,3,Male,82,2,1,영업 담당자,1,Single,3407,7,Y,No,좋다,2,80,0,10,4,3,5
34,No,1~29회,419,R&D,7,4,사회과학계열,28,1,Female,53,3,3,연구 관리자,2,Single,11994,0,Y,No,보통,3,80,0,13,4,3,12
21,No,1~29회,391,R&D,15,2,사회과학계열,30,3,Male,96,3,1,연구직,4,Single,1232,1,Y,No,보통,4,80,0,0,6,3,0
34,Yes,1~29회,699,R&D,6,1,자연과학계열,31,2,Male,83,3,1,연구직,1,Single,2960,2,Y,No,보통,3,80,0,8,2,3,4
53,No,1~29회,1282,R&D,5,3,기타,32,3,Female,58,3,5,인사관리자,3,Divorced,19094,4,Y,No,보통,4,80,1,26,3,2,14
32,Yes,30회 이상,1125,R&D,16,1,사회과학계열,33,2,Female,72,1,1,연구직,1,Single,3919,1,Y,Yes,좋다,2,80,0,10,5,3,10
42,No,1~29회,691,영업,8,4,상경계열,35,3,Male,48,3,2,영업직,2,Married,6825,0,Y,No,보통,4,80,1,10,2,3,9
44,No,1~29회,477,R&D,7,4,자연과학계열,36,1,Female,42,2,3,연구직 관리자,4,Married,10248,3,Y,No,보통,4,80,1,24,4,3,22
46,No,1~29회,705,영업,2,4,상경계열,38,2,Female,83,3,5,인사관리자,1,Single,18947,3,Y,No,보통,4,80,0,22,2,2,2
33,No,1~29회,924,R&D,2,3,자연과학계열,39,3,Male,78,3,1,엔지니어,4,Single,2496,4,Y,No,보통,4,80,0,7,3,3,1
44,No,1~29회,1459,R&D,10,4,기타,40,4,Male,41,3,2,연구직 관리자,4,Married,6465,2,Y,Yes,보통,4,80,0,9,5,4,4
30,No,1~29회,125,R&D,9,2,자연과학계열,41,4,Male,83,2,1,엔지니어,3,Single,2206,1,Y,No,보통,1,80,0,10,5,3,10
39,Yes,1~29회,895,영업,5,3,공학계열,42,4,Male,56,3,2,영업 담당자,4,Married,2086,3,Y,No,보통,3,80,1,19,6,4,1
24,Yes,1~29회,813,R&D,1,3,자연과학계열,45,2,Male,61,3,1,연구직,4,Married,2293,2,Y,Yes,보통,1,80,1,6,2,2,2
43,No,1~29회,1273,R&D,2,2,자연과학계열,46,4,Female,72,4,1,연구직,3,Divorced,2645,1,Y,No,보통,4,80,2,6,3,2,5
50,Yes,1~29회,869,영업,3,2,상경계열,47,1,Male,86,2,1,영업 담당자,3,Married,2683,1,Y,Yes,보통,3,80,0,3,2,3,3
35,No,1~29회,890,영업,2,3,상경계열,49,4,Female,97,3,1,영업 담당자,4,Married,2014,1,Y,No,보통,1,80,0,2,3,3,2
36,No,1~29회,852,R&D,5,4,사회과학계열,51,2,Female,82,2,1,연구직,1,Married,3419,9,Y,Yes,보통,4,80,1,6,3,4,1
33,No,30회 이상,1141,영업,1,3,사회과학계열,52,3,Female,42,4,2,영업직,1,Married,5376,2,Y,No,보통,1,80,2,10,3,3,5
35,No,1~29회,464,R&D,4,2,기타,53,3,Male,75,3,1,엔지니어,4,Divorced,1951,1,Y,No,보통,3,80,1,1,3,3,1
27,No,1~29회,1240,R&D,2,4,사회과학계열,54,4,Female,33,3,1,엔지니어,1,Divorced,2341,1,Y,No,보통,4,80,1,1,6,3,1
26,Yes,1~29회,1357,R&D,25,3,사회과학계열,55,1,Male,48,1,1,엔지니어,3,Single,2293,1,Y,No,보통,3,80,0,1,2,2,1
27,No,30회 이상,994,영업,8,3,사회과학계열,56,4,Male,37,3,3,영업직,3,Single,8726,1,Y,No,보통,4,80,0,9,0,3,9
30,No,30회 이상,721,R&D,1,2,자연과학계열,57,3,Female,58,3,2,엔지니어,4,Single,4011,1,Y,No,좋다,4,80,0,12,2,3,12
41,Yes,1~29회,1360,R&D,12,3,공학계열,58,2,Female,49,3,5,연구 관리자,3,Married,19545,1,Y,No,보통,4,80,0,23,0,3,22
34,No,0회,1065,영업,23,4,상경계열,60,2,Male,72,3,2,영업직,3,Single,4568,0,Y,No,좋다,3,80,0,10,2,3,9
37,No,1~29회,408,R&D,19,2,사회과학계열,61,2,Male,73,3,1,연구직,2,Married,3022,4,Y,No,좋다,1,80,0,8,1,3,1
46,No,30회 이상,1211,영업,5,4,상경계열,62,1,Male,98,3,2,영업직,4,Single,5772,4,Y,Yes,좋다,3,80,0,14,4,3,9
35,No,1~29회,1229,R&D,8,1,사회과학계열,63,4,Male,36,4,1,엔지니어,4,Married,2269,1,Y,No,보통,4,80,0,1,2,3,1
48,Yes,1~29회,626,R&D,1,2,사회과학계열,64,1,Male,98,2,3,엔지니어,3,Single,5381,9,Y,Yes,보통,4,80,0,23,2,3,1
28,Yes,1~29회,1434,R&D,5,4,공학계열,65,3,Male,50,3,1,엔지니어,3,Single,3441,1,Y,Yes,보통,3,80,0,2,3,2,2
44,No,1~29회,1488,영업,1,5,상경계열,68,2,Female,75,3,2,영업직,1,Divorced,5454,5,Y,Yes,좋다,3,80,1,9,2,2,4
35,No,0회,1097,R&D,11,2,자연과학계열,70,3,Male,79,2,3,연구직 관리자,1,Married,9884,2,Y,Yes,보통,3,80,1,10,3,3,4
26,No,1~29회,1443,영업,23,3,상경계열,72,3,Female,47,2,2,영업직,4,Married,4157,7,Y,Yes,보통,3,80,1,5,2,2,2
33,No,30회 이상,515,R&D,1,2,사회과학계열,73,1,Female,98,3,3,연구 관리자,4,Single,13458,1,Y,Yes,보통,3,80,0,15,1,3,15
35,No,30회 이상,853,영업,18,5,사회과학계열,74,2,Male,71,3,3,영업직,1,Married,9069,1,Y,No,좋다,4,80,1,9,3,2,9
35,No,1~29회,1142,R&D,23,4,자연과학계열,75,3,Female,30,3,1,엔지니어,1,Married,4014,3,Y,Yes,보통,3,80,1,4,3,3,2
31,No,1~29회,655,R&D,7,4,사회과학계열,76,4,Male,48,3,2,엔지니어,4,Divorced,5915,3,Y,No,좋다,4,80,1,10,3,2,7
37,No,1~29회,1115,R&D,1,4,사회과학계열,77,1,Male,51,2,2,제조 책임자,3,Divorced,5993,1,Y,No,보통,3,80,1,7,2,4,7
32,No,1~29회,427,R&D,1,3,자연과학계열,78,1,Male,33,3,2,제조 책임자,4,Married,6162,1,Y,Yes,좋다,2,80,1,9,3,3,9
38,No,30회 이상,653,R&D,29,5,사회과학계열,79,4,Female,50,3,2,엔지니어,4,Single,2406,1,Y,No,보통,4,80,0,10,2,3,10
50,No,1~29회,989,R&D,7,2,자연과학계열,80,2,Female,43,2,5,연구 관리자,3,Divorced,18740,5,Y,Yes,보통,4,80,1,29,2,2,27
59,No,1~29회,1435,영업,25,3,사회과학계열,81,1,Female,99,3,3,영업직,1,Single,7637,7,Y,No,보통,4,80,0,28,3,2,21
36,No,1~29회,1223,R&D,8,3,공학계열,83,3,Female,59,3,3,연구직 관리자,3,Divorced,10096,1,Y,No,보통,2,80,3,17,2,3,17
55,No,1~29회,836,R&D,8,3,자연과학계열,84,4,Female,33,3,4,인사관리자,3,Divorced,14756,2,Y,Yes,보통,3,80,3,21,2,3,5
36,No,30회 이상,1195,R&D,11,3,사회과학계열,85,2,Male,95,2,2,제조 책임자,2,Single,6499,1,Y,No,보통,3,80,0,6,3,3,6
45,No,1~29회,1339,R&D,7,3,사회과학계열,86,2,Male,59,3,3,연구직,1,Divorced,9724,2,Y,No,보통,3,80,1,25,2,3,1
35,No,30회 이상,664,R&D,1,3,자연과학계열,88,2,Male,79,3,1,연구직,1,Married,2194,4,Y,No,보통,4,80,1,5,2,2,3
36,Yes,1~29회,318,R&D,9,3,자연과학계열,90,4,Male,79,2,1,연구직,3,Married,3388,0,Y,Yes,보통,1,80,1,2,0,2,1
