월급/경력,시급,월급/프로젝트,월급,월급/워라밸,일당,초과근무율,경력/나이,나이,거리,프로젝트/경력,현근속/총근속,근속/경력,프로젝트/교육출장,현회사근속년수,업무평가
705.0588235,94,1712.285714,5993,3995.333333,1102,13.68944099,0.192771084,41,1,0.352941176,2.4,0.235294118,6,6,보통
488.5714286,61,2052,5130,1465.714286,279,3.465838509,0.202020202,49,8,0.19047619,4,0.19047619,0.571428571,10,좋다
278.6666667,92,836,2090,597.1428571,1373,17.05590062,0.186666667,37,2,0.266666667,0,0.133333333,0.571428571,0,보통
342.2352941,56,831.1428571,2909,831.1428571,1392,17.29192547,0.23880597,33,3,0.352941176,5.333333333,0.117647059,0.857142857,8,보통
533.5384615,40,990.8571429,3468,990.8571429,591,7.341614907,0.218181818,27,2,0.461538462,1.333333333,0.153846154,0.857142857,2,보통
360.9411765,79,876.5714286,3068,1227.2,1005,12.48447205,0.246153846,32,2,0.352941176,4.666666667,0.117647059,1.2,7,보통
213.6,81,593.3333333,2670,1068,1324,16.44720497,0.201680672,59,3,0.32,0.666666667,0.08,1.142857143,1,좋다
1795.333333,67,769.4285714,2693,769.4285714,1358,16.86956522,0.032786885,30,24,2,0.666666667,0.666666667,1.2,1,좋다
907.2380952,44,3810.4,9526,2721.714286,216,2.683229814,0.25974026,38,23,0.19047619,2.571428571,0.285714286,0.8,9,좋다
299.2571429,94,1496.285714,5237,2094.8,1299,16.13664596,0.465753425,36,27,0.171428571,2.8,0.114285714,0.857142857,7,보통
373.2307692,84,539.1111111,2426,693.1428571,809,10.04968944,0.169014085,35,16,0.615384615,3.333333333,0.153846154,0.727272727,5,보통
399.3333333,49,1677.2,4193,1198,153,1.900621118,0.338983051,29,15,0.19047619,3.6,0.19047619,0.571428571,9,보통
529.2727273,31,831.7142857,2911,1164.4,670,8.322981366,0.158730159,31,26,0.545454545,3.333333333,0.181818182,2,5,보통
760.2857143,93,760.2857143,2661,760.2857143,1346,16.72049689,0.086956522,34,19,0.857142857,1.333333333,0.285714286,1.2,2,보통
312,50,811.2,2028,579.4285714,103,1.279503106,0.210526316,28,24,0.307692308,2.666666667,0.153846154,0.444444444,4,보통
950.4761905,51,2217.777778,9980,2851.428571,1389,17.25465839,0.338983051,29,21,0.380952381,2.857142857,0.285714286,2.666666667,10,보통
439.7333333,80,732.8888889,3298,1319.2,334,4.149068323,0.215384615,32,5,0.533333333,4,0.133333333,0.727272727,6,보통
1956.666667,96,652.2222222,2935,1174,1123,13.95031056,0.044444444,22,16,2.666666667,0.666666667,0.666666667,1.6,1,보통
489.7460317,78,6170.8,15427,4407.714286,1219,15.14285714,0.579439252,53,2,0.063492063,5.555555556,0.126984127,0.571428571,25,보통
606.7692308,45,1126.857143,3944,1126.857143,371,4.608695652,0.155844156,38,2,0.461538462,2,0.153846154,0.857142857,3,보통
729.2727273,96,891.3333333,4011,1604.4,673,8.360248447,0.204081633,24,11,0.727272727,1.6,0.363636364,0.727272727,4,보통
324.4761905,82,1362.8,3407,973.4285714,1218,15.13043478,0.273972603,36,9,0.19047619,3.333333333,0.095238095,0.444444444,5,좋다
888.4444444,53,3426.857143,11994,3426.857143,419,5.204968944,0.376811594,34,7,0.222222222,3.428571429,0.222222222,0.666666667,12,보통
2464,96,352,1232,352,391,4.857142857,0,21,15,6,0,2,0.461538462,0,보통
348.2352941,83,845.7142857,2960,845.7142857,699,8.683229814,0.231884058,34,6,0.352941176,2.666666667,0.117647059,1.2,4,보통
720.5283019,58,5455.428571,19094,7637.6,1282,15.92546584,0.485981308,53,5,0.113207547,2.545454545,0.188679245,0.857142857,14,보통
373.2380952,72,2612.666667,3919,1119.714286,1125,13.97515528,0.307692308,32,16,0.095238095,6.666666667,0.095238095,0.181818182,10,좋다
650,48,1950,6825,1950,691,8.583850932,0.235294118,42,8,0.285714286,3.6,0.19047619,1.2,9,보통
418.2857143,42,4099.2,10248,2928,477,5.925465839,0.539325843,44,7,0.081632653,6.285714286,0.12244898,0.444444444,22,보통
842.0888889,83,5413.428571,18947,7578.8,705,8.757763975,0.47311828,46,2,0.133333333,0.363636364,0.222222222,1.2,2,보통
332.8,78,713.1428571,2496,713.1428571,924,11.47826087,0.208955224,33,2,0.4,0.666666667,0.133333333,0.857142857,1,보통
680.5263158,41,1847.142857,6465,1436.666667,1459,18.1242236,0.202247191,44,10,0.315789474,1.6,0.210526316,0.545454545,4,보통
210.0952381,83,882.4,2206,630.2857143,125,1.552795031,0.327868852,30,9,0.19047619,6.666666667,0.095238095,0.363636364,10,보통
106.974359,56,596,2086,463.5555556,895,11.11801242,0.481012658,39,5,0.153846154,0.4,0.102564103,0.461538462,1,보통
352.7692308,61,655.1428571,2293,917.2,813,10.09937888,0.244897959,24,1,0.461538462,1.333333333,0.153846154,1.2,2,보통
406.9230769,72,587.7777778,2645,1058,1273,15.8136646,0.137931034,43,2,0.615384615,3.333333333,0.153846154,1.142857143,5,보통
766.5714286,86,1073.2,2683,766.5714286,869,10.79503106,0.059405941,50,3,0.571428571,2,0.285714286,0.8,3,보통
805.6,97,575.4285714,2014,575.4285714,890,11.05590062,0.056338028,35,2,1.2,1.333333333,0.4,0.857142857,2,보통
526,82,1367.6,3419,759.7777778,852,10.58385093,0.164383562,36,5,0.307692308,0.666666667,0.153846154,0.571428571,1,보통
512,42,1194.666667,5376,1536,1141,14.17391304,0.298507463,33,1,0.380952381,2,0.19047619,1.142857143,5,보통
1300.666667,75,557.4285714,1951,557.4285714,464,5.763975155,0.028169014,35,4,2,0.666666667,0.666666667,0.857142857,1,보통
1560.666667,33,668.8571429,2341,668.8571429,1240,15.40372671,0.036363636,27,2,2,0.666666667,0.666666667,0.461538462,1,보통
1528.666667,48,1528.666667,2293,917.2,1357,16.85714286,0.037735849,26,25,0.666666667,0.666666667,0.666666667,0.4,1,보통
918.5263158,37,2493.142857,8726,2493.142857,994,12.34782609,0.327272727,27,8,0.315789474,2.571428571,0.315789474,6,9,보통
320.88,58,1146,4011,1146,721,8.956521739,0.393442623,30,1,0.24,4.8,0.16,1.2,12,좋다
831.7021277,49,5584.285714,19545,5584.285714,1360,16.89440994,0.554216867,41,12,0.127659574,4,0.212765957,6,22,보통
435.047619,72,1305.142857,4568,1305.142857,1065,13.22981366,0.289855072,34,23,0.285714286,3.6,0.19047619,1.2,9,좋다
355.5294118,73,863.4285714,3022,863.4285714,408,5.068322981,0.213333333,37,19,0.352941176,0.666666667,0.117647059,2,1,좋다
398.0689655,98,1649.142857,5772,1649.142857,1211,15.04347826,0.301075269,46,5,0.206896552,3.6,0.137931034,0.666666667,9,좋다
1512.666667,36,504.2222222,2269,648.2857143,1229,15.26708075,0.028169014,35,8,2.666666667,0.666666667,0.666666667,1.6,1,보통
228.9787234,98,2152.4,5381,1537.428571,626,7.776397516,0.474226804,48,1,0.085106383,0.285714286,0.127659574,0.8,1,보통
1376.4,50,983.1428571,3441,1376.4,1434,17.8136646,0.070175439,28,5,1.2,1.333333333,0.4,0.857142857,2,보통
574.1052632,75,1558.285714,5454,2181.6,1488,18.48447205,0.202247191,44,1,0.315789474,1.6,0.210526316,1.2,4,좋다
941.3333333,79,3953.6,9884,2824,1097,13.62732919,0.281690141,35,11,0.19047619,1.142857143,0.285714286,0.571428571,4,보통
755.8181818,47,1662.8,4157,1662.8,1443,17.92546584,0.188679245,26,23,0.363636364,0.8,0.363636364,0.8,2,보통
868.2580645,98,3845.142857,13458,3845.142857,515,6.397515528,0.447761194,33,1,0.193548387,4.285714286,0.193548387,2,15,보통
954.6315789,71,2591.142857,9069,3627.6,853,10.59627329,0.253521127,35,18,0.315789474,2.571428571,0.315789474,0.857142857,9,좋다
892,30,1146.857143,4014,1146.857143,1142,14.1863354,0.112676056,35,23,0.666666667,1.333333333,0.222222222,0.857142857,2,보통
563.3333333,48,1690,5915,2366,655,8.136645963,0.317460317,31,7,0.285714286,2.8,0.19047619,0.857142857,7,좋다
799.0666667,51,2397.2,5993,1331.777778,1115,13.85093168,0.186666667,37,1,0.266666667,2.8,0.266666667,0.8,7,보통
648.6315789,33,1760.571429,6162,1760.571429,427,5.304347826,0.276923077,32,1,0.315789474,3.6,0.210526316,0.857142857,9,좋다
229.1428571,50,687.4285714,2406,687.4285714,653,8.111801242,0.25974026,38,29,0.285714286,4,0.19047619,1.2,10,보통
635.2542373,43,7496,18740,7496,989,12.28571429,0.574257426,50,7,0.06779661,4.909090909,0.169491525,0.8,27,보통
267.9649123,99,2182,7637,3054.8,1435,17.82608696,0.470588235,59,25,0.105263158,6,0.105263158,0.857142857,21,보통
576.9142857,59,2884.571429,10096,2884.571429,1223,15.19254658,0.465753425,36,8,0.171428571,4.857142857,0.171428571,1.2,17,보통
686.3255814,33,4216,14756,4216,836,10.38509317,0.378378378,55,8,0.139534884,1.111111111,0.186046512,1.2,5,보통
999.8461538,95,2599.6,6499,1856.857143,1195,14.8447205,0.164383562,36,11,0.307692308,2.4,0.307692308,0.571428571,6,보통
381.3333333,59,2778.285714,9724,2778.285714,1339,16.63354037,0.549450549,45,7,0.117647059,0.285714286,0.117647059,1.2,1,보통
398.9090909,79,626.8571429,2194,877.6,664,8.248447205,0.14084507,35,1,0.545454545,2,0.181818182,1.2,3,보통
1355.2,79,1355.2,3388,1355.2,318,3.950310559,0.054794521,36,9,0.8,0.666666667,0.4,4,1,보통
266.9756098,57,2189.2,5473,2189.2,1225,15.2173913,0.336134454,59,1,0.097560976,1.6,0.097560976,0.8,4,보통
415.8461538,76,772.2857143,2703,772.2857143,1328,16.49689441,0.203389831,29,2,0.461538462,3.333333333,0.153846154,0.857142857,5,좋다
1667.333333,87,714.5714286,2501,714.5714286,1082,13.44099379,0.031746032,31,1,2,0.666666667,0.666666667,0.666666667,1,보통
592.3809524,66,1777.142857,6220,1777.142857,548,6.807453416,0.307692308,32,1,0.285714286,4,0.19047619,0.857142857,10,보통
552.3636364,55,675.1111111,3038,868,132,1.639751553,0.136986301,36,6,0.727272727,0.666666667,0.181818182,1.142857143,1,보통
384.6956522,61,1264,4424,1264,746,9.267080745,0.349206349,31,8,0.260869565,4.4,0.173913043,1.2,11,좋다
261.3333333,32,1724.8,4312,1232,776,9.639751553,0.450704225,35,1,0.121212121,6,0.121212121,0.8,15,보통
756.8571429,52,3784.285714,13245,2943.333333,193,2.397515528,0.373626374,45,6,0.171428571,0,0.171428571,0.857142857,0,보통
828.1212121,30,3904,13664,3036.444444,397,4.931677019,0.426666667,37,7,0.181818182,1.428571429,0.181818182,0.857142857,5,보통
304.3030303,80,1434.571429,5021,1434.571429,945,11.73913043,0.344086022,46,5,0.181818182,1.6,0.121212121,1.2,4,좋다
488.1904762,55,2050.4,5126,2050.4,852,10.58385093,0.327868852,30,1,0.19047619,4,0.19047619,1.333333333,10,보통
439.8461538,30,1143.6,2859,816.8571429,1214,15.08074534,0.169014085,35,1,0.307692308,4,0.153846154,0.571428571,6,보통
417.9183673,70,2925.428571,10239,2925.428571,111,1.378881988,0.432432432,55,1,0.12244898,0.285714286,0.12244898,0.666666667,1,보통
304.5142857,79,3552.666667,5329,1522.571429,573,7.118012422,0.441558442,38,6,0.057142857,5.2,0.114285714,0.285714286,13,보통
786.3636364,94,1235.714286,4325,1235.714286,1153,14.32298137,0.144927536,34,1,0.545454545,2,0.363636364,1.2,5,보통
193.6,49,4840,7260,2904,1400,17.39130435,0.654867257,56,7,0.026666667,1.714285714,0.08,0.285714286,6,보통
663.4285714,62,663.4285714,2322,663.4285714,541,6.720496894,0.127659574,23,2,0.857142857,0,0.285714286,0.857142857,0,보통
197.6190476,96,592.8571429,2075,592.8571429,432,5.366459627,0.194174757,51,9,0.285714286,2.666666667,0.095238095,0.666666667,4,좋다
361.0434783,99,1660.8,4152,1186.285714,288,3.577639752,0.360655738,30,2,0.173913043,4.4,0.173913043,0.571428571,11,보통
1012.526316,64,3847.6,9619,2748.285714,669,8.310559006,0.193548387,46,9,0.210526316,2.571428571,0.315789474,0.571428571,9,보통
600.1333333,78,5401.2,13503,5401.2,530,6.583850932,0.543209877,40,1,0.088888889,4.888888889,0.177777778,0.571428571,22,좋다
473.1304348,71,1554.571429,5441,3627.333333,632,7.850931677,0.213592233,51,21,0.260869565,4,0.173913043,1.2,10,좋다
452.9565217,63,2083.6,5209,2083.6,1334,16.57142857,0.360655738,30,4,0.173913043,4.4,0.173913043,0.444444444,11,보통
496.4186047,40,4269.2,10673,4269.2,638,7.925465839,0.451612903,46,1,0.093023256,2.857142857,0.139534884,0.363636364,10,보통
400.8,87,1431.428571,5010,1431.428571,1093,13.57763975,0.369230769,32,6,0.24,4.4,0.16,6,11,보통
821.1515152,60,3871.142857,13549,9032.666667,1217,15.11801242,0.293577982,54,2,0.181818182,1.142857143,0.181818182,0.545454545,4,보통
1110.888889,33,1428.285714,4999,1999.6,1353,16.80745342,0.163265306,24,3,0.666666667,1.2,0.444444444,1.2,3,좋다
767.4545455,43,1206,4221,938,120,1.49068323,0.175438596,28,4,0.545454545,2,0.363636364,0.857142857,5,보통
360.3116883,37,3963.428571,13872,5548.8,682,8.472049689,0.64957265,58,10,0.077922078,8.222222222,0.103896104,2,37,보통
116.6857143,67,583.4285714,2042,453.7777778,489,6.074534161,0.382022472,44,23,0.171428571,1.2,0.114285714,0.857142857,3,보통
276.4,63,592.2857143,2073,592.2857143,807,10.02484472,0.186666667,37,6,0.4,2,0.133333333,0.857142857,3,좋다
1970.666667,71,844.5714286,2956,844.5714286,827,10.27329193,0.030769231,32,1,2,0.666666667,0.666666667,1.2,1,보통
1950.666667,66,1170.4,2926,836,871,10.81987578,0.048780488,20,6,1.333333333,0.666666667,0.666666667,0.363636364,1,보통
291.4545455,41,1374,4809,1374,665,8.260869565,0.463768116,34,6,0.181818182,6.4,0.121212121,0.857142857,16,보통
295.0285714,100,2065.2,5163,1147.333333,1040,12.91925466,0.453333333,37,2,0.114285714,0.4,0.114285714,0.8,1,보통
617.8360656,32,7537.6,18844,5384,1420,17.63975155,0.504201681,59,2,0.06557377,0.545454545,0.163934426,0.571428571,3,좋다
637.6140351,73,5192,18172,7268.8,1115,13.85093168,0.554455446,50,1,0.105263158,1.454545455,0.175438596,2,8,보통
883.6923077,46,2297.6,5744,1641.142857,240,2.98136646,0.235294118,25,5,0.307692308,2.4,0.307692308,1.333333333,6,보통
1155.6,64,1155.6,2889,825.4285714,1280,15.90062112,0.078431373,25,7,0.8,1.333333333,0.4,0.8,2,보통
1914,59,820.2857143,2871,820.2857143,534,6.633540373,0.044444444,22,15,2,0,0.666666667,0.545454545,0,보통
318.4680851,30,2993.6,7484,2993.6,1456,18.08695652,0.446601942,51,1,0.085106383,3.714285714,0.127659574,1.333333333,13,좋다
639.3684211,66,4049.333333,6074,1735.428571,658,8.173913043,0.260869565,34,7,0.105263158,3.6,0.210526316,0.285714286,9,좋다
737.3617021,30,3850.666667,17328,4950.857143,142,1.763975155,0.422018349,54,26,0.170212766,1.111111111,0.170212766,1.142857143,5,보통
426.7692308,52,792.5714286,2774,792.5714286,1127,14,0.244897959,24,18,0.461538462,3.333333333,0.153846154,1.2,5,보통
360.4,45,1802,4505,1287.142857,1031,12.80745342,0.347826087,34,6,0.16,0.4,0.16,0.571428571,1,보통
594.24,87,2122.285714,7428,2122.285714,1189,14.77018634,0.32,37,3,0.24,1.428571429,0.24,0.857142857,5,보통
802.137931,45,4652.4,11631,3323.142857,1354,16.81987578,0.405797101,34,5,0.137931034,3.142857143,0.206896552,0.307692308,11,보통
927.4285714,92,2782.285714,9738,2782.285714,1467,18.22360248,0.273972603,36,11,0.285714286,2.571428571,0.285714286,0.461538462,9,보통
378,39,810,2835,810,922,11.45341615,0.191780822,36,3,0.4,0.666666667,0.133333333,1.2,1,좋다
665.0588235,92,4845.428571,16959,3768.666667,394,4.894409938,0.574712644,43,26,0.117647059,5.555555556,0.156862745,0.857142857,25,보통
248.8571429,96,1742,2613,1045.2,1312,16.29813665,0.327868852,30,23,0.095238095,6.666666667,0.095238095,0.4,10,좋다
723.0588235,95,1756,6146,1365.777778,750,9.316770186,0.23880597,33,22,0.352941176,2.8,0.235294118,1.2,7,보통
661.7333333,72,1418,4963,1418,441,5.47826087,0.123893805,56,14,0.4,3.333333333,0.133333333,1.2,5,보통
831.3617021,51,5582,19537,5582,684,8.49689441,0.446601942,51,6,0.127659574,3.636363636,0.212765957,0.545454545,20,보통
493.76,76,4114.666667,6172,2468.8,249,3.093167702,0.380952381,31,6,0.08,2.8,0.16,0.285714286,7,보통
430.5454545,46,947.2,2368,947.2,841,10.44720497,0.188679245,26,6,0.363636364,3.333333333,0.181818182,0.571428571,5,보통
254.617284,94,2946.285714,10312,4124.8,147,1.826086957,0.683760684,58,23,0.074074074,11.42857143,0.074074074,0.857142857,40,보통
3350,50,478.5714286,1675,670,528,6.559006211,0,19,22,6,0,2,1.2,0,보통
720.8571429,100,720.8571429,2523,720.8571429,594,7.378881988,0.133333333,22,2,0.857142857,1.333333333,0.285714286,1.2,2,보통
398,96,1876.285714,6567,2626.8,470,5.838509317,0.323232323,49,20,0.181818182,6,0.121212121,1.2,15,보통
256.1621622,72,1053.111111,4739,1354,957,11.88819876,0.413793103,43,28,0.216216216,2,0.054054054,1.6,3,보통
558.0606061,77,2630.857143,9208,2630.857143,809,10.04968944,0.316831683,50,12,0.181818182,0.571428571,0.181818182,0.857142857,2,보통
1013.111111,71,3039.333333,4559,1302.571429,542,6.732919255,0.126984127,31,20,0.222222222,0.8,0.444444444,0.4,2,보통
655.12,96,2339.714286,8189,2339.714286,802,9.962732919,0.289156627,41,9,0.24,2.571428571,0.24,1.2,9,보통
346.1176471,61,840.5714286,2942,840.5714286,1355,16.83229814,0.301886792,26,25,0.352941176,5.333333333,0.117647059,0.857142857,8,좋다
658.8,84,1411.714286,4941,1411.714286,216,2.683229814,0.191780822,36,6,0.4,1.2,0.266666667,6,3,좋다
575.6756757,53,7100,10650,3042.857143,1150,14.28571429,0.349514563,51,8,0.054054054,1.142857143,0.162162162,0.4,4,보통
337.2571429,47,2360.8,5902,1311.555556,1329,16.50931677,0.430379747,39,4,0.114285714,6,0.114285714,1.333333333,15,보통
