나이,출장,참여프로젝트,근속연차,월급,이직회수,업무평가,주변평가,경력,전년도교육출장횟수,현회사근속년수,출장_등급,이직률,프로젝트참여율,교육출장참여율,현직근속비율,연봉/경력비율,연봉/프로젝트비율,경력-근속연차,근속연차차이,프로젝트밀도지수,평판×근속연차,연봉×평판점수,경력/나이비율,근속/나이비율,연봉/나이,입사나이
41,1~29회,3,2,8090550,8,보통,1,8,0,6,1,1.0,0.375,0.0,0.75,1011318.75,2696850.0,6,-4,0.375,2,8090550,0.1951219512195122,0.04878048780487805,197330.48780487804,33
49,30회 이상,2,2,6925500,1,좋다,4,10,3,10,2,0.1,0.2,0.3,1.0,692550.0,3462750.0,8,-8,0.5,8,27702000,0.20408163265306123,0.04081632653061224,141336.73469387754,39
37,1~29회,2,1,2821500,6,보통,2,7,3,0,1,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.0,403071.4285714286,1410750.0,6,1,0.7142857142857143,2,5643000,0.1891891891891892,0.02702702702702703,76256.75675675676,30
33,30회 이상,3,1,3927150,1,보통,3,8,3,8,2,0.125,0.375,0.375,1.0,490893.75,1309050.0,7,-7,0.75,3,11781450,0.24242424242424243,0.030303030303030304,119004.54545454546,25
27,1~29회,3,1,4681800,9,보통,4,6,3,2,1,1.5,0.5,0.5,0.3333333333333333,780300.0,1560600.0,5,-1,1.0,4,18727200,0.2222222222222222,0.037037037037037035,173400.0,21
32,30회 이상,3,1,4141800,0,보통,3,8,2,7,2,0.0,0.375,0.25,0.875,517725.0,1380600.0,7,-6,0.625,3,12425400,0.25,0.03125,129431.25,24
59,1~29회,4,1,3604500,4,좋다,1,12,3,1,1,0.3333333333333333,0.3333333333333333,0.25,0.08333333333333333,300375.0,901125.0,11,0,0.5833333333333334,1,3604500,0.2033898305084746,0.01694915254237288,61093.220338983054,47
30,1~29회,3,1,3635550,1,좋다,2,1,2,1,1,1.0,3.0,2.0,1.0,3635550.0,1211850.0,0,0,5.0,2,7271100,0.03333333333333333,0.03333333333333333,121185.0,29
38,30회 이상,2,3,12860100,0,좋다,2,10,2,9,2,0.0,0.2,0.2,0.9,1286010.0,6430050.0,7,-6,0.4,6,25720200,0.2631578947368421,0.07894736842105263,338423.6842105263,28
36,1~29회,3,2,7069950,6,보통,2,17,3,7,1,0.35294117647058826,0.17647058823529413,0.17647058823529413,0.4117647058823529,415879.4117647059,2356650.0,15,-5,0.35294117647058826,4,14139900,0.4722222222222222,0.05555555555555555,196387.5,19
35,1~29회,4,1,3275100,0,보통,3,6,5,5,1,0.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,545850.0,818775.0,5,-4,1.5,3,9825300,0.17142857142857143,0.02857142857142857,93574.28571428571,29
29,1~29회,2,2,5660550,0,보통,4,10,3,9,1,0.0,0.2,0.3,0.9,566055.0,2830275.0,8,-7,0.5,8,22642200,0.3448275862068966,0.06896551724137931,195191.37931034484,19
31,1~29회,3,1,3929850,1,보통,4,5,1,5,1,0.2,0.6,0.2,1.0,785970.0,1309950.0,4,-4,0.8,4,15719400,0.16129032258064516,0.03225806451612903,126769.35483870968,26
34,1~29회,3,1,3592350,0,보통,3,3,2,2,1,0.0,1.0,0.6666666666666666,0.6666666666666666,1197450.0,1197450.0,2,-1,1.6666666666666667,3,10777050,0.08823529411764706,0.029411764705882353,105657.35294117648,31
28,1~29회,2,1,2737800,5,보통,2,6,4,4,1,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.6666666666666666,456300.0,1368900.0,5,-3,1.0,2,5475600,0.21428571428571427,0.03571428571428571,97778.57142857143,22
29,1~29회,4,3,13473000,1,보통,3,10,1,10,1,0.1,0.4,0.1,1.0,1347300.0,3368250.0,7,-7,0.5,9,40419000,0.3448275862068966,0.10344827586206896,464586.2068965517,19
32,1~29회,4,1,4452300,0,보통,4,7,5,6,1,0.0,0.5714285714285714,0.7142857142857143,0.8571428571428571,636042.8571428572,1113075.0,6,-5,1.2857142857142858,4,17809200,0.21875,0.03125,139134.375,25
22,0회,4,1,3962250,1,보통,2,1,2,1,0,1.0,4.0,2.0,1.0,3962250.0,990562.5,0,0,6.0,2,7924500,0.045454545454545456,0.045454545454545456,180102.27272727274,21
53,1~29회,2,4,20826450,2,보통,3,31,3,25,1,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.8064516129032258,671820.9677419355,10413225.0,27,-21,0.16129032258064516,12,62479350,0.5849056603773585,0.07547169811320754,392951.88679245283,22
38,1~29회,3,1,5324400,5,보통,3,6,3,3,1,0.8333333333333334,0.5,0.5,0.5,887400.0,1774800.0,5,-2,1.0,3,15973200,0.15789473684210525,0.02631578947368421,140115.7894736842,32
24,0회,4,2,5414850,0,보통,4,5,5,4,0,0.0,0.8,1.0,0.8,1082970.0,1353712.5,3,-2,1.8,8,21659400,0.20833333333333334,0.08333333333333333,225618.75,19
36,1~29회,2,1,4599450,7,좋다,2,10,4,5,1,0.7,0.2,0.4,0.5,459945.0,2299725.0,9,-4,0.6,2,9198900,0.2777777777777778,0.027777777777777776,127762.5,26
34,1~29회,3,3,16191900,0,보통,3,13,4,12,1,0.0,0.23076923076923078,0.3076923076923077,0.9230769230769231,1245530.7692307692,5397300.0,10,-9,0.5384615384615384,9,48575700,0.38235294117647056,0.08823529411764706,476232.35294117645,21
21,1~29회,3,1,1663200,1,보통,4,0,6,0,1,0.0,0.0,0.0,0.0,0.0,554400.0,-1,1,0.0,4,6652800,0.0,0.047619047619047616,79200.0,21
34,1~29회,3,1,3996000,2,보통,3,8,2,4,1,0.25,0.375,0.25,0.5,499500.0,1332000.0,7,-3,0.625,3,11988000,0.23529411764705882,0.029411764705882353,117529.41176470589,26
53,1~29회,3,5,25776900,4,보통,4,26,3,14,1,0.15384615384615385,0.11538461538461539,0.11538461538461539,0.5384615384615384,991419.2307692308,8592300.0,21,-9,0.23076923076923078,20,103107600,0.49056603773584906,0.09433962264150944,486356.6037735849,27
32,30회 이상,1,1,5290650,1,좋다,2,10,5,10,2,0.1,0.1,0.5,1.0,529065.0,5290650.0,9,-9,0.6,2,10581300,0.3125,0.03125,165332.8125,22
42,1~29회,3,2,9213750,0,보통,4,10,2,9,1,0.0,0.3,0.2,0.9,921375.0,3071250.0,8,-7,0.5,8,36855000,0.23809523809523808,0.047619047619047616,219375.0,32
44,1~29회,2,3,13834800,3,보통,4,24,4,22,1,0.125,0.08333333333333333,0.16666666666666666,0.9166666666666666,576450.0,6917400.0,21,-19,0.25,12,55339200,0.5454545454545454,0.06818181818181818,314427.2727272727,20
46,1~29회,3,5,25578450,3,보통,4,22,2,2,1,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.09090909090909091,1162656.8181818181,8526150.0,17,3,0.22727272727272727,20,102313800,0.4782608695652174,0.10869565217391304,556053.2608695652,24
33,1~29회,3,1,3369600,4,보통,4,7,3,1,1,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.14285714285714285,481371.4285714286,1123200.0,6,0,0.8571428571428571,4,13478400,0.21212121212121213,0.030303030303030304,102109.09090909091,26
44,1~29회,3,2,8727750,2,보통,4,9,5,4,1,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.4444444444444444,969750.0,2909250.0,7,-2,0.8888888888888888,8,34911000,0.20454545454545456,0.045454545454545456,198357.95454545456,35
30,1~29회,2,1,2978100,1,보통,1,10,5,10,1,0.1,0.2,0.5,1.0,297810.0,1489050.0,9,-9,0.7,1,2978100,0.3333333333333333,0.03333333333333333,99270.0,20
